type,client,tx,amount
deposit,0,0,2.0
dispute,0,0,
resolve,0,0,
withdrawal,0,1,1.5
dispute,0,1,
resolve,0,1,
deposit,0,2,2.0
dispute,0,2,
chargeback,0,2,
deposit,1,2,2.0
dispute,1,2,
resolve,1,2,
withdrawal,1,3,1.5
dispute,1,3,
resolve,1,3,
deposit,1,4,2.0
dispute,1,4,
chargeback,1,4,
deposit,2,4,2.0
dispute,2,4,
resolve,2,4,
withdrawal,2,5,1.5
dispute,2,5,
resolve,2,5,
deposit,2,6,2.0
dispute,2,6,
chargeback,2,6,
deposit,3,6,2.0
dispute,3,6,
resolve,3,6,
withdrawal,3,7,1.5
dispute,3,7,
resolve,3,7,
deposit,3,8,2.0
dispute,3,8,
chargeback,3,8,
deposit,4,8,2.0
dispute,4,8,
resolve,4,8,
withdrawal,4,9,1.5
dispute,4,9,
resolve,4,9,
deposit,4,10,2.0
dispute,4,10,
chargeback,4,10,
deposit,5,10,2.0
dispute,5,10,
resolve,5,10,
withdrawal,5,11,1.5
dispute,5,11,
resolve,5,11,
deposit,5,12,2.0
dispute,5,12,
chargeback,5,12,
deposit,6,12,2.0
dispute,6,12,
resolve,6,12,
withdrawal,6,13,1.5
dispute,6,13,
resolve,6,13,
deposit,6,14,2.0
dispute,6,14,
chargeback,6,14,
deposit,7,14,2.0
dispute,7,14,
resolve,7,14,
withdrawal,7,15,1.5
dispute,7,15,
resolve,7,15,
deposit,7,16,2.0
dispute,7,16,
chargeback,7,16,
deposit,8,16,2.0
dispute,8,16,
resolve,8,16,
withdrawal,8,17,1.5
dispute,8,17,
resolve,8,17,
deposit,8,18,2.0
dispute,8,18,
chargeback,8,18,
deposit,9,18,2.0
dispute,9,18,
resolve,9,18,
withdrawal,9,19,1.5
dispute,9,19,
resolve,9,19,
deposit,9,20,2.0
dispute,9,20,
chargeback,9,20,
deposit,10,20,2.0
dispute,10,20,
resolve,10,20,
withdrawal,10,21,1.5
dispute,10,21,
resolve,10,21,
deposit,10,22,2.0
dispute,10,22,
chargeback,10,22,
deposit,11,22,2.0
dispute,11,22,
resolve,11,22,
withdrawal,11,23,1.5
dispute,11,23,
resolve,11,23,
deposit,11,24,2.0
dispute,11,24,
chargeback,11,24,
deposit,12,24,2.0
dispute,12,24,
resolve,12,24,
withdrawal,12,25,1.5
dispute,12,25,
resolve,12,25,
deposit,12,26,2.0
dispute,12,26,
chargeback,12,26,
deposit,13,26,2.0
dispute,13,26,
resolve,13,26,
withdrawal,13,27,1.5
dispute,13,27,
resolve,13,27,
deposit,13,28,2.0
dispute,13,28,
chargeback,13,28,
deposit,14,28,2.0
dispute,14,28,
resolve,14,28,
withdrawal,14,29,1.5
dispute,14,29,
resolve,14,29,
deposit,14,30,2.0
dispute,14,30,
chargeback,14,30,
deposit,15,30,2.0
dispute,15,30,
resolve,15,30,
withdrawal,15,31,1.5
dispute,15,31,
resolve,15,31,
deposit,15,32,2.0
dispute,15,32,
chargeback,15,32,
deposit,16,32,2.0
dispute,16,32,
resolve,16,32,
withdrawal,16,33,1.5
dispute,16,33,
resolve,16,33,
deposit,16,34,2.0
dispute,16,34,
chargeback,16,34,
deposit,17,34,2.0
dispute,17,34,
resolve,17,34,
withdrawal,17,35,1.5
dispute,17,35,
resolve,17,35,
deposit,17,36,2.0
dispute,17,36,
chargeback,17,36,
deposit,18,36,2.0
dispute,18,36,
resolve,18,36,
withdrawal,18,37,1.5
dispute,18,37,
resolve,18,37,
deposit,18,38,2.0
dispute,18,38,
chargeback,18,38,
deposit,19,38,2.0
dispute,19,38,
resolve,19,38,
withdrawal,19,39,1.5
dispute,19,39,
resolve,19,39,
deposit,19,40,2.0
dispute,19,40,
chargeback,19,40,
deposit,20,40,2.0
dispute,20,40,
resolve,20,40,
withdrawal,20,41,1.5
dispute,20,41,
resolve,20,41,
deposit,20,42,2.0
dispute,20,42,
chargeback,20,42,
deposit,21,42,2.0
dispute,21,42,
resolve,21,42,
withdrawal,21,43,1.5
dispute,21,43,
resolve,21,43,
deposit,21,44,2.0
dispute,21,44,
chargeback,21,44,
deposit,22,44,2.0
dispute,22,44,
resolve,22,44,
withdrawal,22,45,1.5
dispute,22,45,
resolve,22,45,
deposit,22,46,2.0
dispute,22,46,
chargeback,22,46,
deposit,23,46,2.0
dispute,23,46,
resolve,23,46,
withdrawal,23,47,1.5
dispute,23,47,
resolve,23,47,
deposit,23,48,2.0
dispute,23,48,
chargeback,23,48,
deposit,24,48,2.0
dispute,24,48,
resolve,24,48,
withdrawal,24,49,1.5
dispute,24,49,
resolve,24,49,
deposit,24,50,2.0
dispute,24,50,
chargeback,24,50,
deposit,25,50,2.0
dispute,25,50,
resolve,25,50,
withdrawal,25,51,1.5
dispute,25,51,
resolve,25,51,
deposit,25,52,2.0
dispute,25,52,
chargeback,25,52,
deposit,26,52,2.0
dispute,26,52,
resolve,26,52,
withdrawal,26,53,1.5
dispute,26,53,
resolve,26,53,
deposit,26,54,2.0
dispute,26,54,
chargeback,26,54,
deposit,27,54,2.0
dispute,27,54,
resolve,27,54,
withdrawal,27,55,1.5
dispute,27,55,
resolve,27,55,
deposit,27,56,2.0
dispute,27,56,
chargeback,27,56,
deposit,28,56,2.0
dispute,28,56,
resolve,28,56,
withdrawal,28,57,1.5
dispute,28,57,
resolve,28,57,
deposit,28,58,2.0
dispute,28,58,
chargeback,28,58,
deposit,29,58,2.0
dispute,29,58,
resolve,29,58,
withdrawal,29,59,1.5
dispute,29,59,
resolve,29,59,
deposit,29,60,2.0
dispute,29,60,
chargeback,29,60,
deposit,30,60,2.0
dispute,30,60,
resolve,30,60,
withdrawal,30,61,1.5
dispute,30,61,
resolve,30,61,
deposit,30,62,2.0
dispute,30,62,
chargeback,30,62,
deposit,31,62,2.0
dispute,31,62,
resolve,31,62,
withdrawal,31,63,1.5
dispute,31,63,
resolve,31,63,
deposit,31,64,2.0
dispute,31,64,
chargeback,31,64,
deposit,32,64,2.0
dispute,32,64,
resolve,32,64,
withdrawal,32,65,1.5
dispute,32,65,
resolve,32,65,
deposit,32,66,2.0
dispute,32,66,
chargeback,32,66,
deposit,33,66,2.0
dispute,33,66,
resolve,33,66,
withdrawal,33,67,1.5
dispute,33,67,
resolve,33,67,
deposit,33,68,2.0
dispute,33,68,
chargeback,33,68,
deposit,34,68,2.0
dispute,34,68,
resolve,34,68,
withdrawal,34,69,1.5
dispute,34,69,
resolve,34,69,
deposit,34,70,2.0
dispute,34,70,
chargeback,34,70,
deposit,35,70,2.0
dispute,35,70,
resolve,35,70,
withdrawal,35,71,1.5
dispute,35,71,
resolve,35,71,
deposit,35,72,2.0
dispute,35,72,
chargeback,35,72,
deposit,36,72,2.0
dispute,36,72,
resolve,36,72,
withdrawal,36,73,1.5
dispute,36,73,
resolve,36,73,
deposit,36,74,2.0
dispute,36,74,
chargeback,36,74,
deposit,37,74,2.0
dispute,37,74,
resolve,37,74,
withdrawal,37,75,1.5
dispute,37,75,
resolve,37,75,
deposit,37,76,2.0
dispute,37,76,
chargeback,37,76,
deposit,38,76,2.0
dispute,38,76,
resolve,38,76,
withdrawal,38,77,1.5
dispute,38,77,
resolve,38,77,
deposit,38,78,2.0
dispute,38,78,
chargeback,38,78,
deposit,39,78,2.0
dispute,39,78,
resolve,39,78,
withdrawal,39,79,1.5
dispute,39,79,
resolve,39,79,
deposit,39,80,2.0
dispute,39,80,
chargeback,39,80,
deposit,40,80,2.0
dispute,40,80,
resolve,40,80,
withdrawal,40,81,1.5
dispute,40,81,
resolve,40,81,
deposit,40,82,2.0
dispute,40,82,
chargeback,40,82,
deposit,41,82,2.0
dispute,41,82,
resolve,41,82,
withdrawal,41,83,1.5
dispute,41,83,
resolve,41,83,
deposit,41,84,2.0
dispute,41,84,
chargeback,41,84,
deposit,42,84,2.0
dispute,42,84,
resolve,42,84,
withdrawal,42,85,1.5
dispute,42,85,
resolve,42,85,
deposit,42,86,2.0
dispute,42,86,
chargeback,42,86,
deposit,43,86,2.0
dispute,43,86,
resolve,43,86,
withdrawal,43,87,1.5
dispute,43,87,
resolve,43,87,
deposit,43,88,2.0
dispute,43,88,
chargeback,43,88,
deposit,44,88,2.0
dispute,44,88,
resolve,44,88,
withdrawal,44,89,1.5
dispute,44,89,
resolve,44,89,
deposit,44,90,2.0
dispute,44,90,
chargeback,44,90,
deposit,45,90,2.0
dispute,45,90,
resolve,45,90,
withdrawal,45,91,1.5
dispute,45,91,
resolve,45,91,
deposit,45,92,2.0
dispute,45,92,
chargeback,45,92,
deposit,46,92,2.0
dispute,46,92,
resolve,46,92,
withdrawal,46,93,1.5
dispute,46,93,
resolve,46,93,
deposit,46,94,2.0
dispute,46,94,
chargeback,46,94,
deposit,47,94,2.0
dispute,47,94,
resolve,47,94,
withdrawal,47,95,1.5
dispute,47,95,
resolve,47,95,
deposit,47,96,2.0
dispute,47,96,
chargeback,47,96,
deposit,48,96,2.0
dispute,48,96,
resolve,48,96,
withdrawal,48,97,1.5
dispute,48,97,
resolve,48,97,
deposit,48,98,2.0
dispute,48,98,
chargeback,48,98,
deposit,49,98,2.0
dispute,49,98,
resolve,49,98,
withdrawal,49,99,1.5
dispute,49,99,
resolve,49,99,
deposit,49,100,2.0
dispute,49,100,
chargeback,49,100,
deposit,50,100,2.0
dispute,50,100,
resolve,50,100,
withdrawal,50,101,1.5
dispute,50,101,
resolve,50,101,
deposit,50,102,2.0
dispute,50,102,
chargeback,50,102,
deposit,51,102,2.0
dispute,51,102,
resolve,51,102,
withdrawal,51,103,1.5
dispute,51,103,
resolve,51,103,
deposit,51,104,2.0
dispute,51,104,
chargeback,51,104,
deposit,52,104,2.0
dispute,52,104,
resolve,52,104,
withdrawal,52,105,1.5
dispute,52,105,
resolve,52,105,
deposit,52,106,2.0
dispute,52,106,
chargeback,52,106,
deposit,53,106,2.0
dispute,53,106,
resolve,53,106,
withdrawal,53,107,1.5
dispute,53,107,
resolve,53,107,
deposit,53,108,2.0
dispute,53,108,
chargeback,53,108,
deposit,54,108,2.0
dispute,54,108,
resolve,54,108,
withdrawal,54,109,1.5
dispute,54,109,
resolve,54,109,
deposit,54,110,2.0
dispute,54,110,
chargeback,54,110,
deposit,55,110,2.0
dispute,55,110,
resolve,55,110,
withdrawal,55,111,1.5
dispute,55,111,
resolve,55,111,
deposit,55,112,2.0
dispute,55,112,
chargeback,55,112,
deposit,56,112,2.0
dispute,56,112,
resolve,56,112,
withdrawal,56,113,1.5
dispute,56,113,
resolve,56,113,
deposit,56,114,2.0
dispute,56,114,
chargeback,56,114,
deposit,57,114,2.0
dispute,57,114,
resolve,57,114,
withdrawal,57,115,1.5
dispute,57,115,
resolve,57,115,
deposit,57,116,2.0
dispute,57,116,
chargeback,57,116,
deposit,58,116,2.0
dispute,58,116,
resolve,58,116,
withdrawal,58,117,1.5
dispute,58,117,
resolve,58,117,
deposit,58,118,2.0
dispute,58,118,
chargeback,58,118,
deposit,59,118,2.0
dispute,59,118,
resolve,59,118,
withdrawal,59,119,1.5
dispute,59,119,
resolve,59,119,
deposit,59,120,2.0
dispute,59,120,
chargeback,59,120,
deposit,60,120,2.0
dispute,60,120,
resolve,60,120,
withdrawal,60,121,1.5
dispute,60,121,
resolve,60,121,
deposit,60,122,2.0
dispute,60,122,
chargeback,60,122,
deposit,61,122,2.0
dispute,61,122,
resolve,61,122,
withdrawal,61,123,1.5
dispute,61,123,
